Date,Hour,load,scenario,period
14/06/2018,8,8014.4,3,7
14/06/2018,8,8912.2,4,7
14/06/2018,8,9730.1,5,7
14/06/2018,8,9882.9,6,7
14/06/2018,8,9492.8,7,7
14/06/2018,8,9930.6,8,7
14/06/2018,8,9005.8,9,7
14/06/2018,8,9945.9,10,7
14/06/2018,8,8894.4,11,7
14/06/2018,8,9604.4,12,7
14/06/2018,8,9426.0,13,7
14/06/2018,8,10194.1,14,7
14/06/2018,8,10586.6,15,7
14/06/2018,8,10723.2,16,7
14/06/2018,8,9654.1,17,7
14/06/2018,8,11086.5,18,7
14/06/2018,8,9996.8,19,7
14/06/2018,8,11341.8,20,7
14/06/2018,8,10035.5,21,7
14/06/2018,8,10476.9,22,7
14/06/2018,8,9825.9,23,7
14/06/2018,8,10401.6,24,7
14/06/2018,8,10415.3,25,7
14/06/2018,8,11162.5,26,7
14/06/2018,8,11387.3,27,7
14/06/2018,8,10698.3,28,7
14/06/2018,8,10290.0,29,7
14/06/2018,8,11443.1,30,7
14/06/2018,8,10589.8,31,7
14/06/2018,8,10962.1,32,7
14/06/2018,8,11001.1,33,7
14/06/2018,8,11698.6,34,7
14/06/2018,8,10525.1,35,7
14/06/2018,8,10243.2,36,7
14/06/2018,8,11232.5,37,7
14/06/2018,8,10765.7,38,7
14/06/2018,8,10741.8,39,7
14/06/2018,8,11629.4,40,7
14/06/2018,8,11017.6,41,7
14/06/2018,8,11817.1,42,7
14/06/2018,8,11838.7,43,7
14/06/2018,8,10680.1,44,7
14/06/2018,8,12291.8,45,7
14/06/2018,8,12470.0,46,7
14/06/2018,8,10462.1,47,7
14/06/2018,8,11086.0,48,7
14/06/2018,8,11438.0,49,7
14/06/2018,8,12530.1,50,7
14/06/2018,8,12465.3,51,7
14/06/2018,8,10705.6,52,7
14/06/2018,8,12230.4,53,7
14/06/2018,8,11550.5,54,7
14/06/2018,8,12107.9,55,7
14/06/2018,8,12477.4,56,7
14/06/2018,8,11545.4,57,7
14/06/2018,8,11089.5,58,7
14/06/2018,8,12124.3,59,7
14/06/2018,8,11660.5,60,7
14/06/2018,8,12178.4,61,7
14/06/2018,8,11971.6,62,7
14/06/2018,8,10925.4,63,7
14/06/2018,8,12246.5,64,7
14/06/2018,8,12402.4,65,7
14/06/2018,8,12504.9,66,7
14/06/2018,8,12628.9,67,7
