unit,Date,Hour,Lmax,Lmin,LmaxR,LminR,Umax,Umin,period
WIND01,17/06/2018,17,481.8,0,481.8,0,1,0,88
WIND02,17/06/2018,17,338.7,0,338.7,0,1,0,88
SOLAR01,17/06/2018,17,428.6,0,428.6,0,1,0,88
SOLAR02,17/06/2018,17,242.0,0,242.0,0,1,0,88
WIND01,17/06/2018,18,606.9,0,606.9,0,1,0,89
WIND02,17/06/2018,18,390.2,0,390.2,0,1,0,89
SOLAR01,17/06/2018,18,215.6,0,215.6,0,1,0,89
SOLAR02,17/06/2018,18,146.9,0,146.9,0,1,0,89
WIND01,17/06/2018,19,575.7,0,575.7,0,1,0,90
WIND02,17/06/2018,19,408.1,0,408.1,0,1,0,90
SOLAR01,17/06/2018,19,196.8,0,196.8,0,1,0,90
SOLAR02,17/06/2018,19,104.4,0,104.4,0,1,0,90
WIND01,17/06/2018,20,618.1,0,618.1,0,1,0,91
WIND02,17/06/2018,20,353.9,0,353.9,0,1,0,91
SOLAR01,17/06/2018,20,86.8,0,86.8,0,1,0,91
SOLAR02,17/06/2018,20,50.1,0,50.1,0,1,0,91
WIND01,17/06/2018,21,488.5,0,488.5,0,1,0,92
WIND02,17/06/2018,21,329.6,0,329.6,0,1,0,92
SOLAR01,17/06/2018,21,13.4,0,13.4,0,1,0,92
SOLAR02,17/06/2018,21,7.8,0,7.8,0,1,0,92
WIND01,17/06/2018,22,431.1,0,431.1,0,1,0,93
WIND02,17/06/2018,22,305.3,0,305.3,0,1,0,93
SOLAR01,17/06/2018,22,0.0,0,0.0,0,1,0,93
SOLAR02,17/06/2018,22,0.0,0,0.0,0,1,0,93
WIND01,17/06/2018,23,320.4,0,320.4,0,1,0,94
WIND02,17/06/2018,23,371.9,0,371.9,0,1,0,94
SOLAR01,17/06/2018,23,0.0,0,0.0,0,1,0,94
SOLAR02,17/06/2018,23,0.0,0,0.0,0,1,0,94
WIND01,17/06/2018,24,181.8,0,181.8,0,1,0,95
WIND02,17/06/2018,24,330.6,0,330.6,0,1,0,95
SOLAR01,17/06/2018,24,0.0,0,0.0,0,1,0,95
SOLAR02,17/06/2018,24,0.0,0,0.0,0,1,0,95
WIND01,18/06/2018,1,148.6,0,148.6,0,1,0,96
WIND02,18/06/2018,1,352.9,0,352.9,0,1,0,96
SOLAR01,18/06/2018,1,0.0,0,0.0,0,1,0,96
SOLAR02,18/06/2018,1,0.0,0,0.0,0,1,0,96
WIND01,18/06/2018,2,84.1,0,84.1,0,1,0,97
WIND02,18/06/2018,2,374.5,0,374.5,0,1,0,97
